"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"REST API Testing","POST Requests","Post with empty fields","0","0","1","0","0"
"REST API Testing","POST Requests","Handle invalid POST requests","0","0","1","0","0"
"REST API Testing","POST Requests","Handle malformed POST body","0","0","1","0","0"
"REST API Testing","PUT Requests","Update with partial data","0","0","1","0","0"
"REST API Testing","GET Requests","Get all posts","0","0","1","0","0"
"REST API Testing","DELETE Requests","Delete with invalid ID format","1","0","0","0","0"
"REST API Testing","DELETE Requests","Handle invalid DELETE requests","0","0","1","0","0"
"REST API Testing","POST Requests","Create post with minimal valid data","0","0","1","0","0"
"REST API Testing","PUT Requests","Update with invalid ID format","1","0","0","0","0"
"REST API Testing","GET Requests","Handle invalid GET requests","0","0","2","0","0"
"REST API Testing","GET Requests","Handle non-existent GET requests","0","0","1","0","0"
"REST API Testing","POST Requests","Create New Post","0","0","1","0","0"
"REST API Testing","DELETE Requests","Delete non-existent resource","0","0","1","0","0"
"REST API Testing","PUT Requests","Update Existing Post","0","0","1","0","0"
"REST API Testing","PUT Requests","Handle invalid PUT requests","1","0","0","0","0"
"REST API Testing","DELETE Requests","Delete Post by ID","0","0","1","0","0"
"REST API Testing","GET Requests","Retrieve Post by ID","0","0","1","0","0"
"REST API Testing","PUT Requests","Update with empty body","0","0","1","0","0"
"REST API Testing","DELETE Requests","Double delete on same resource","0","0","1","0","0"
